65.860,53.813,94.069,127.258,6.641,7.990,2.669,0.000,
2.557,6.468,14.107,11.194,5.082,4.529,0.370,0.000,
2.523,6.304,14.250,10.996,5.384,4.684,0.385,0.000,
2.561,5.886,14.497,11.218,5.194,4.442,0.387,0.000,
2.750,6.727,15.721,11.583,5.650,5.036,0.381,0.000,
2.596,6.038,14.248,10.851,5.215,4.492,0.384,0.000,
2.604,6.353,14.368,11.024,5.373,4.720,0.415,0.000,
2.720,6.562,15.411,11.346,5.201,4.567,0.354,0.000,
2.910,6.463,15.594,11.547,4.902,4.284,0.415,0.000,
2.571,6.677,16.209,12.500,5.099,4.519,0.352,0.000,
2.517,5.866,14.647,11.667,4.781,4.154,0.400,0.000,
2.669,6.506,15.400,12.166,5.460,4.837,0.385,0.000,
2.672,5.994,13.809,11.212,5.016,4.366,0.395,0.000,
2.649,6.563,16.280,12.506,5.205,4.499,0.398,0.000,
2.731,6.443,13.845,10.982,5.364,4.696,0.385,0.000,
2.739,6.459,15.715,11.543,5.089,4.438,0.406,0.000,
2.842,6.697,15.212,11.850,5.344,4.408,0.417,0.000,
2.406,6.557,15.092,12.143,4.703,4.054,0.381,0.000,
2.554,6.074,14.563,10.829,5.070,4.266,0.391,0.000,
2.514,5.991,14.159,10.950,4.879,4.108,0.441,0.000,
2.409,5.978,15.048,11.359,4.855,4.269,0.393,0.000,
2.690,5.841,14.720,11.222,4.536,4.098,0.386,0.000,
2.619,5.933,14.472,11.590,5.264,4.557,0.399,0.000,
2.526,6.403,14.757,12.002,4.933,4.432,0.403,0.000,
3.110,6.516,14.954,11.042,5.115,4.434,0.391,0.000,
2.775,6.525,16.100,11.929,5.390,4.644,0.386,0.000,
2.723,6.185,14.213,10.703,4.884,4.292,0.412,0.000,
2.683,6.050,13.339,10.711,5.086,4.349,0.400,0.000,
2.652,6.620,15.107,11.405,5.443,4.698,0.428,0.000,
2.634,6.138,13.636,10.866,4.700,4.106,0.395,0.000,
2.491,6.173,14.843,11.232,5.107,4.359,0.371,0.000,
2.572,6.056,15.085,10.781,4.912,4.339,0.417,0.000,
2.468,6.515,14.513,11.303,5.168,4.459,0.403,0.000,
2.654,6.399,14.513,11.288,5.098,4.425,0.393,0.000,
2.876,7.051,15.302,11.692,5.276,4.632,0.382,0.000,
2.725,6.251,14.202,10.212,4.943,4.393,0.388,0.000,
2.736,6.480,15.379,11.580,4.905,4.360,0.391,0.000,
2.754,6.475,14.041,10.711,4.860,4.233,0.352,0.000,
2.457,6.375,15.954,11.516,5.217,4.616,0.381,0.000,
2.730,5.844,14.001,10.775,5.147,4.355,0.374,0.000,
2.880,6.210,14.671,11.150,5.255,4.653,0.409,0.000,
2.775,6.206,14.951,12.030,5.266,4.670,0.400,0.000,
2.861,6.410,15.441,12.371,5.246,4.872,0.385,0.000,
2.661,6.320,15.804,11.962,4.967,4.328,0.378,0.000,
2.354,6.060,15.060,11.540,5.181,4.734,0.432,0.000,
2.753,5.746,16.016,11.668,5.387,4.758,0.393,0.000,
2.550,6.288,13.507,10.634,5.196,4.493,0.428,0.000,
2.673,6.336,13.736,10.875,4.875,4.414,0.376,0.000,
2.664,6.409,15.984,12.007,4.916,4.233,0.370,0.000,
2.756,6.424,16.440,13.612,30.079,4.549,27.192,63.198,
2.566,6.586,15.194,11.694,5.083,4.446,0.439,0.000,
2.295,5.596,15.003,12.433,4.776,4.444,0.385,0.000,
2.568,6.053,14.830,11.384,4.963,4.213,0.385,0.000,
3.021,6.517,14.246,10.579,4.731,4.185,0.387,0.000,
3.068,6.795,14.589,11.455,5.177,4.798,0.392,0.000,
2.651,6.592,15.412,11.576,5.312,4.649,0.373,0.000,
2.550,6.066,16.307,12.254,5.602,4.882,0.399,0.000,
2.667,5.993,14.908,11.914,5.369,4.749,0.407,0.000,
2.690,6.170,15.594,11.092,4.805,4.224,0.371,0.000,
2.509,6.010,15.197,11.827,4.896,4.421,0.428,0.000,
2.804,6.114,13.344,10.819,5.323,4.462,0.374,0.000,
2.754,7.066,14.422,10.962,5.000,4.158,0.376,0.000,
2.504,6.251,14.807,10.920,5.202,4.517,0.428,0.000,
2.702,6.629,14.354,10.084,5.047,4.341,0.383,0.000,
2.505,6.157,14.425,11.447,4.929,4.277,0.415,0.000,
2.656,6.256,14.807,10.840,5.073,4.463,0.377,0.000,
2.849,7.504,15.515,11.170,5.230,4.710,0.378,0.000,
2.588,5.960,13.572,10.951,5.044,4.264,0.404,0.000,
2.711,6.568,15.066,10.778,5.628,4.954,0.415,0.000,
2.684,6.581,14.505,11.734,5.469,4.806,0.389,0.000,
2.637,6.256,13.845,11.233,5.086,4.539,0.397,0.000,
2.748,6.407,15.646,11.996,5.116,4.582,0.357,0.000,
2.482,5.861,13.472,10.529,4.702,4.367,0.413,0.000,
2.676,6.315,15.208,11.926,5.554,4.746,0.364,0.000,
2.777,6.050,13.671,11.238,5.409,4.868,0.386,0.000,
2.583,5.805,15.192,12.399,5.257,4.706,0.373,0.000,
2.714,5.793,14.699,11.775,5.005,4.266,0.414,0.000,
2.854,6.317,14.047,11.432,5.535,4.936,0.405,0.000,
2.698,6.403,15.022,11.747,5.013,4.441,0.408,0.000,
2.712,6.722,14.272,10.591,4.837,4.139,0.399,0.000,
2.832,6.314,14.516,10.860,5.264,4.553,0.360,0.000,
2.658,7.048,14.650,10.798,5.090,4.425,0.412,0.000,
2.455,6.049,14.585,11.288,5.274,4.778,0.386,0.000,
2.681,6.125,15.275,11.611,5.315,4.703,0.410,0.000,
2.755,6.810,14.570,12.230,5.659,5.104,0.407,0.000,
2.653,6.324,14.956,11.110,4.937,4.346,0.418,0.000,
2.863,6.903,14.914,11.278,4.968,4.476,0.419,0.000,
2.683,6.675,15.022,11.038,4.881,4.308,0.431,0.000,
2.762,6.761,15.361,11.657,5.506,4.923,0.395,0.000,
2.774,6.559,14.477,11.068,4.728,4.044,0.396,0.000,
